Year,Temp Change
2022,0.95
2021,0.85
2020,1.17
2019,1.09
2018,0.89
2017,1.08
2016,1.31
2015,0.92
2014,0.77
2013,0.67
2012,0.51
2011,0.6
2010,0.87
2009,0.57
2008,0.74
2007,0.66
2006,0.64
2005,0.74
2004,0.7
2003,0.61
2002,0.82
2001,0.65
2000,0.55
1999,0.4
1998,0.68
1997,0.5
1996,0.35
1995,0.5
1994,0.38
1993,0.41
1992,0.44
1991,0.37
1990,0.76
1989,0.35
1988,0.53
1987,0.27
1986,0.3
1985,0.2
1984,0.3
1983,0.42
1982,0.1
1981,0.44
1980,0.28
1979,0.23
1978,0.23
1977,0.31
1976,-0.2
1975,0.12
1974,0
1973,0.37
1972,0.03
1971,-0.1
1970,0.06
1969,0.12
1968,0.15
1967,0.02
1966,0.01
1965,0
1964,-0.1
1963,0
1962,0.16
1961,0.17
1960,-0.1
1959,0.21
1958,0.15
1957,0
1956,-0.1
1955,-0.3
1954,0
1953,0.19
1952,0
1951,-0.1
1950,-0.1
1949,0
1948,-0.1
1947,0.03
1946,0.02
1945,0.1
1944,0.34
1943,0
1942,0.15
1941,0.18
1940,0.1
1939,-0.1
1938,0.03
1937,-0.1
1936,-0.1
1935,-0.1
1934,-0.3
1933,-0.2
1932,-0.1
1931,0
1930,0
1929,-0.3
1928,-0.2
1927,-0.3
1926,0.06
1925,-0.2
1924,0
1923,-0.3
1922,-0.1
1921,-0.2
1920,0
1919,-0.2
1918,-0.3
1917,-0.6
1916,-0.2
1915,0
1914,-0.1
1913,-0.4
1912,-0.3
1911,-0.5
1910,-0.5
1909,-0.5
1908,-0.5
1907,-0.3
1906,-0.1
1905,-0.4
1904,-0.5
1903,-0.2
1902,-0.2
1901,0
1900,0
1899,-0.3
1898,-0.6
1897,-0.1
1896,-0.2
1895,-0.3
1894,-0.2
1893,-0.2
1892,-0.2
1891,-0.2
1890,-0.3
1889,0.14
1888,-0.2
1887,-0.2
1886,-0.2
1885,-0.2
1884,-0.2
1883,-0.1
1882,0
1881,0.05
1880,0
