Row Labels,Average of Carbon PPM
1958,315.232
1959,315.9808333
1960,316.91
1961,317.6441667
1962,318.4541667
1963,318.9925
1964,319.6166667
1965,320.0358333
1966,321.3691667
1967,322.1808333
1968,323.05
1969,324.6233333
1970,325.6816667
1971,326.3191667
1972,327.4566667
1973,329.6775
1974,330.1916667
1975,331.1158333
1976,332.0266667
1977,333.8433333
1978,335.415
1979,336.8358333
1980,338.7625
1981,340.1191667
1982,341.4791667
1983,343.1525
1984,344.8483333
1985,346.3525
1986,347.6083333
1987,349.3125
1988,351.6908333
1989,353.205
1990,354.4533333
1991,355.7041667
1992,356.5441667
1993,357.2158333
1994,358.9591667
1995,360.9683333
1996,362.7433333
1997,363.8766667
1998,366.84
1999,368.54
2000,369.7075
2001,371.3191667
2002,373.4525
2003,375.9833333
2004,377.6983333
2005,379.9833333
2006,382.0908333
2007,384.025
2008,385.8308333
2009,387.6433333
2010,390.1016667
2011,391.8508333
2012,394.0558333
2013,396.7375
2014,398.8708333
2015,401.0125
2016,404.4125
2017,406.7583333
2018,408.715
2019,411.6541667
2020,414.2383333
2021,416.4508333
2022,418.76
